Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Regular Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Age,Number of Dependents,Latitude,Longitude,Population,CLTV,Total Customer Svc Requests,Product/Service Issues Reported,Customer Satisfaction,Price_Bucket,Population_2024,Referred a Friend_Yes,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Phone Service_Yes,Multiple Lines_Yes,Internet Service_Yes,Internet Type_DSL,Internet Type_Fiber Optic,Online Security_Yes,Online Backup_Yes,Device Protection Plan_Yes,Premium Tech Support_Yes,Streaming TV_Yes,Streaming Movies_Yes,Streaming Music_Yes,Unlimited Data_Yes,Contract_One Year,Contract_Two Year,Paperless Billing_Yes,Payment Method_Credit Card,Payment Method_Mailed Check,Gender_Male,Under 30_Yes,Senior Citizen_Yes,Married_Yes,Dependents_Yes
0,1,0.0,9,41.236,39.65,0.0,0.0,0.0,78,0,34.02381,-118.156582,68701,5433,5,0,3.0,Medium,39355309,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False
1,8,48.85,19,83.876,633.3,0.0,120.0,390.8,74,1,34.044271,-118.185237,55668,5302,5,0,3.0,High,39355309,True,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True
0,18,11.33,57,99.268,1752.55,45.61,0.0,203.94,71,3,34.108833,-118.229715,47534,3179,1,0,3.0,High,39355309,False,False,False,True,False,True,True,True,False,True,False,False,False,False,True,True,True,True,False,False,True,False,False,True,False,True,False,True
1,25,19.76,13,102.44,2514.5,13.43,327.0,494.0,78,1,33.936291,-118.332639,27778,5337,1,1,2.0,Very High,39355309,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,True,True,True
1,37,6.33,15,79.56,2868.15,0.0,430.0,234.21,80,1,33.972119,-118.020188,26265,2793,1,0,2.0,High,39355309,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True
0,27,3.33,20,81.172,2135.5,0.0,427.0,89.91,72,1,33.989524,-118.089299,63288,4638,0,0,3.0,High,39355309,False,False,True,False,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
1,1,15.28,33,73.268,70.45,0.0,0.0,15.28,76,2,33.79499,-118.065591,21343,3964,7,0,3.0,High,39355309,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True
6,58,0.0,26,47.112,2651.2,40.95,689.0,0.0,66,0,34.168686,-118.057505,10558,5444,2,1,1.0,Medium,39355309,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False
0,15,44.07,21,77.428,1145.7,0.0,241.0,661.05,70,2,34.139402,-118.128658,23742,5717,3,0,2.0,High,39355309,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True
0,7,26.95,20,79.508,503.6,11.05,101.0,188.65,77,2,34.159007,-118.087353,32369,4419,3,0,3.0,High,39355309,False,False,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
