Priority_Rank,Churn_Prob,Contract,CLTV,Monthly_Charge,Discount_Rate,Monthly_Discount,Annual_Offer_Cost,Expected_Loss,Net_ROI
1,0.98,Month-to-Month,5948,78.52,0.15,11.777999999999999,141.33599999999998,5829.04,5687.704
2,0.97,Month-to-Month,5980,77.688,0.15,11.6532,139.8384,5800.599999999999,5660.7616
3,0.92,Month-to-Month,6259,99.06,0.1,9.906,118.87200000000001,5758.280000000001,5639.408
4,0.97,Month-to-Month,5913,99.996,0.15,14.999399999999998,179.9928,5735.61,5555.6172
5,0.96,Month-to-Month,5962,99.268,0.15,14.8902,178.6824,5723.5199999999995,5544.8376
6,0.96,Month-to-Month,5948,72.332,0.15,10.849799999999998,130.19759999999997,5710.08,5579.8824
7,0.98,Month-to-Month,5795,71.864,0.15,10.7796,129.3552,5679.099999999999,5549.7447999999995
8,0.94,Month-to-Month,5973,47.632,0.1,4.7632,57.1584,5614.62,5557.4616
9,0.96,Month-to-Month,5834,87.568,0.15,13.1352,157.6224,5600.639999999999,5443.017599999999
10,0.94,Month-to-Month,5900,46.748,0.1,4.6748,56.0976,5546.0,5489.9024
11,0.93,Month-to-Month,5960,109.2,0.1,10.920000000000002,131.04000000000002,5542.8,5411.76
12,0.93,Month-to-Month,5951,93.496,0.1,9.3496,112.1952,5534.43,5422.2348
13,0.94,Month-to-Month,5874,89.908,0.1,8.9908,107.8896,5521.5599999999995,5413.670399999999
14,1.0,Month-to-Month,5518,78.468,0.15,11.7702,141.2424,5518.0,5376.7576
15,0.94,Month-to-Month,5855,57.252,0.1,5.725200000000001,68.70240000000001,5503.7,5434.9976
16,0.93,Month-to-Month,5904,100.048,0.1,10.004800000000001,120.05760000000001,5490.72,5370.6624
17,0.94,Month-to-Month,5838,78.52,0.1,7.852,94.224,5487.719999999999,5393.495999999999
18,0.93,Month-to-Month,5900,77.636,0.1,7.7636,93.1632,5487.0,5393.8368
19,0.94,Month-to-Month,5828,46.956,0.1,4.695600000000001,56.34720000000001,5478.32,5421.9728
20,0.92,Month-to-Month,5948,92.508,0.1,9.2508,111.0096,5472.16,5361.1503999999995
21,0.98,Month-to-Month,5571,78.78,0.15,11.817,141.804,5459.58,5317.776
22,0.94,Month-to-Month,5795,98.904,0.1,9.8904,118.6848,5447.299999999999,5328.615199999999
23,0.85,One Year,6405,105.56,0.05,5.2780000000000005,63.336000000000006,5444.25,5380.914
24,0.98,Month-to-Month,5546,105.404,0.15,15.810599999999999,189.72719999999998,5435.08,5245.3528
25,0.92,Month-to-Month,5906,104.624,0.1,10.4624,125.5488,5433.52,5307.971200000001
26,0.93,Month-to-Month,5839,77.376,0.1,7.7376000000000005,92.8512,5430.27,5337.4188
27,0.91,Month-to-Month,5949,82.056,0.1,8.2056,98.4672,5413.59,5315.1228
28,0.97,Month-to-Month,5578,77.74,0.15,11.661,139.932,5410.66,5270.728
29,0.85,Month-to-Month,6363,93.548,0.05,4.6774000000000004,56.128800000000005,5408.55,5352.4212
30,0.93,Month-to-Month,5808,92.768,0.1,9.2768,111.32159999999999,5401.4400000000005,5290.1184
31,0.92,Month-to-Month,5861,98.904,0.1,9.8904,118.6848,5392.12,5273.4352
32,0.93,Month-to-Month,5797,104.26,0.1,10.426000000000002,125.11200000000002,5391.21,5266.098
33,0.95,Month-to-Month,5671,93.34,0.1,9.334000000000001,112.00800000000001,5387.45,5275.442
34,0.94,Month-to-Month,5727,91.884,0.1,9.1884,110.26079999999999,5383.38,5273.1192
35,0.97,Month-to-Month,5546,109.72,0.15,16.458,197.49599999999998,5379.62,5182.124
36,0.97,Month-to-Month,5536,97.292,0.15,14.5938,175.1256,5369.92,5194.7944
37,0.9,Month-to-Month,5963,73.112,0.1,7.3111999999999995,87.7344,5366.7,5278.9655999999995
