Priority_Rank,Churn_Prob,Contract,CLTV,Monthly_Charge,Discount_Rate,Monthly_Discount,Annual_Offer_Cost,Expected_Loss,Net_ROI
1,0.92,Month-to-Month,5906,104.624,0.1,10.4624,125.5488,5433.52,5307.971200000001
2,0.97,Month-to-Month,5536,97.292,0.15,14.5938,175.1256,5369.92,5194.7944
3,0.95,Month-to-Month,5644,71.708,0.1,7.1708,86.0496,5361.8,5275.7504
4,0.95,Month-to-Month,5622,85.228,0.1,8.5228,102.2736,5340.9,5238.626399999999
5,0.86,Month-to-Month,5964,84.084,0.1,8.4084,100.9008,5129.04,5028.1392
6,0.9,Month-to-Month,5683,91.728,0.1,9.1728,110.0736,5114.7,5004.6264
7,0.89,Month-to-Month,5617,97.292,0.1,9.7292,116.75040000000001,4999.13,4882.3796
8,0.88,Month-to-Month,5640,83.148,0.1,8.3148,99.7776,4963.2,4863.4223999999995
9,0.96,Month-to-Month,5124,93.392,0.15,14.008799999999999,168.10559999999998,4919.04,4750.9344
10,0.84,Month-to-Month,5692,94.484,0.05,4.7242,56.6904,4781.28,4724.589599999999
11,0.93,Month-to-Month,5105,78.78,0.1,7.878,94.536,4747.650000000001,4653.1140000000005
12,0.82,Month-to-Month,5750,99.58,0.05,4.979,59.748000000000005,4715.0,4655.252
13,0.85,Month-to-Month,5546,93.964,0.05,4.6982,56.3784,4714.099999999999,4657.7216
14,0.85,Month-to-Month,5533,82.42,0.05,4.121,49.452000000000005,4703.05,4653.598
15,0.91,Month-to-Month,5055,83.46,0.1,8.346,100.152,4600.05,4499.898
16,0.85,Month-to-Month,5367,72.696,0.05,3.6348000000000003,43.6176,4561.95,4518.3324
17,0.78,Month-to-Month,5844,72.436,0.05,3.6218000000000004,43.461600000000004,4558.32,4514.8584
18,0.91,Month-to-Month,5007,99.32,0.1,9.932,119.184,4556.37,4437.186
19,0.87,Month-to-Month,5204,90.324,0.1,9.0324,108.3888,4527.48,4419.0912
20,0.85,Month-to-Month,5273,77.324,0.05,3.8662,46.394400000000005,4482.05,4435.6556
21,0.78,Month-to-Month,5688,26.208,0.05,1.3104,15.7248,4436.64,4420.9152
22,0.83,Month-to-Month,5338,103.22,0.05,5.1610000000000005,61.932,4430.54,4368.608
23,0.83,Month-to-Month,5332,99.476,0.05,4.973800000000001,59.68560000000001,4425.5599999999995,4365.8744
24,0.78,Month-to-Month,5667,72.54,0.05,3.6270000000000007,43.52400000000001,4420.26,4376.736
25,0.79,Month-to-Month,5561,102.648,0.05,5.1324000000000005,61.588800000000006,4393.1900000000005,4331.6012
26,0.84,Month-to-Month,5203,81.692,0.05,4.0846,49.0152,4370.5199999999995,4321.5048
27,0.9,Month-to-Month,4815,83.148,0.1,8.3148,99.7776,4333.5,4233.7224
28,0.76,Month-to-Month,5699,89.908,0.05,4.4954,53.9448,4331.24,4277.2952
29,0.95,Month-to-Month,4548,72.644,0.1,7.264400000000001,87.17280000000001,4320.599999999999,4233.427199999999
30,0.83,Month-to-Month,5172,82.94,0.05,4.147,49.764,4292.76,4242.996
31,0.79,Month-to-Month,5345,73.84,0.05,3.692,44.304,4222.55,4178.246
32,0.8,Month-to-Month,5270,78.832,0.05,3.9415999999999998,47.2992,4216.0,4168.7008
33,0.77,Month-to-Month,5342,77.272,0.05,3.8636000000000004,46.363200000000006,4113.34,4066.9768000000004
34,0.89,Month-to-Month,4611,62.556,0.1,6.2556,75.0672,4103.79,4028.7228
35,0.8,Month-to-Month,5087,25.792,0.05,1.2896,15.475200000000001,4069.6000000000004,4054.1248000000005
36,0.8,Month-to-Month,5086,94.484,0.05,4.7242,56.6904,4068.8,4012.1096000000002
37,0.85,Month-to-Month,4769,26.104,0.05,1.3052000000000001,15.662400000000002,4053.65,4037.9876
38,0.87,Month-to-Month,4559,73.528,0.1,7.352800000000001,88.23360000000001,3966.33,3878.0964
39,0.76,Month-to-Month,5216,82.316,0.05,4.1158,49.3896,3964.16,3914.7704
40,0.9,Month-to-Month,4335,78.104,0.1,7.8104000000000005,93.7248,3901.5,3807.7752
41,0.76,Month-to-Month,5084,104.312,0.05,5.2156,62.5872,3863.84,3801.2528
42,0.9,Month-to-Month,4254,91.884,0.1,9.1884,110.26079999999999,3828.6,3718.3392
43,0.76,Month-to-Month,5014,94.12,0.05,4.706,56.47200000000001,3810.64,3754.1679999999997
44,0.84,Month-to-Month,4534,31.148,0.05,1.5574000000000001,18.6888,3808.56,3789.8712
45,0.84,Month-to-Month,4526,52.364,0.05,2.6182,31.4184,3801.8399999999997,3770.4215999999997
46,0.76,Month-to-Month,4996,93.132,0.05,4.6566,55.8792,3796.96,3741.0808
47,0.82,Month-to-Month,4618,52.364,0.05,2.6182,31.4184,3786.7599999999998,3755.3415999999997
48,0.87,Month-to-Month,4321,101.244,0.1,10.124400000000001,121.49280000000002,3759.27,3637.7772
49,0.9,Month-to-Month,4167,83.564,0.1,8.356399999999999,100.27679999999998,3750.3,3650.0232
50,0.77,Month-to-Month,4806,84.396,0.05,4.2198,50.637600000000006,3700.62,3649.9824
51,0.87,Month-to-Month,4223,110.084,0.1,11.008400000000002,132.10080000000002,3674.0099999999998,3541.9091999999996
52,0.77,Month-to-Month,4748,83.096,0.05,4.154800000000001,49.857600000000005,3655.96,3606.1024
53,0.95,Month-to-Month,3812,84.5,0.1,8.450000000000001,101.4,3621.3999999999996,3519.9999999999995
54,0.77,Month-to-Month,4687,109.876,0.05,5.4938,65.9256,3608.9900000000002,3543.0644
55,0.85,Month-to-Month,4233,103.48,0.05,5.174,62.08800000000001,3598.0499999999997,3535.9619999999995
56,0.84,Month-to-Month,4248,51.636,0.05,2.5818000000000003,30.981600000000004,3568.3199999999997,3537.3383999999996
57,0.88,Month-to-Month,4028,78.572,0.1,7.857200000000001,94.28640000000001,3544.64,3450.3536
58,0.89,Month-to-Month,3819,84.552,0.1,8.455200000000001,101.46240000000002,3398.91,3297.4476
59,0.81,Month-to-Month,4193,90.012,0.05,4.5006,54.007200000000005,3396.3300000000004,3342.3228000000004
60,0.83,Month-to-Month,4091,99.424,0.05,4.9712000000000005,59.65440000000001,3395.5299999999997,3335.8756
61,0.8,Month-to-Month,4207,30.836,0.05,1.5418,18.5016,3365.6000000000004,3347.0984000000003
62,0.79,Month-to-Month,4105,77.896,0.05,3.8948,46.7376,3242.9500000000003,3196.2124000000003
63,0.95,Month-to-Month,3392,102.7,0.1,10.270000000000001,123.24000000000001,3222.3999999999996,3099.16
64,0.77,Month-to-Month,4154,72.592,0.05,3.6296,43.5552,3198.58,3155.0248
65,0.85,Month-to-Month,3715,83.044,0.05,4.1522,49.82639999999999,3157.75,3107.9236
66,0.89,Month-to-Month,3548,103.688,0.1,10.3688,124.4256,3157.7200000000003,3033.2944
67,0.78,Month-to-Month,4016,102.7,0.05,5.135000000000001,61.620000000000005,3132.48,3070.86
68,0.87,Month-to-Month,3590,94.692,0.1,9.469199999999999,113.63039999999998,3123.3,3009.6696
69,0.84,Month-to-Month,3622,77.324,0.05,3.8662,46.394400000000005,3042.48,2996.0856
70,0.97,Month-to-Month,3128,80.08,0.15,12.011999999999999,144.14399999999998,3034.16,2890.016
71,0.91,Month-to-Month,3238,84.344,0.1,8.4344,101.2128,2946.58,2845.3672
72,0.82,Month-to-Month,3553,78.052,0.05,3.9026000000000005,46.83120000000001,2913.46,2866.6288
73,0.84,Month-to-Month,3443,83.668,0.05,4.183400000000001,50.20080000000001,2892.12,2841.9192
74,0.78,Month-to-Month,3676,98.228,0.05,4.9114,58.936800000000005,2867.28,2808.3432000000003
75,0.8,Month-to-Month,3584,110.344,0.05,5.5172,66.2064,2867.2000000000003,2800.9936000000002
76,0.92,Month-to-Month,3108,82.784,0.1,8.278400000000001,99.34080000000002,2859.36,2760.0192
77,0.78,Month-to-Month,3631,88.712,0.05,4.4356,53.227199999999996,2832.1800000000003,2778.9528000000005
78,0.77,Month-to-Month,3591,93.028,0.05,4.651400000000001,55.81680000000001,2765.07,2709.2532
79,0.95,Month-to-Month,2901,72.54,0.1,7.254000000000001,87.04800000000002,2755.95,2668.9019999999996
80,0.76,Month-to-Month,3600,72.852,0.05,3.6426000000000003,43.711200000000005,2736.0,2692.2888
81,0.86,Month-to-Month,3145,77.532,0.1,7.7532,93.0384,2704.7,2611.6616
82,0.87,Month-to-Month,3077,93.08,0.1,9.308,111.696,2676.99,2565.294
83,0.79,Month-to-Month,3351,37.18,0.05,1.859,22.308,2647.29,2624.982
